Cep,Rua,Bairro,Lat,Lng
58400250,Rua José Bonifácio,Centro,-228927159,-432827665
58400253,Rua Coronel Salvino Figueiredo,Centro,-72231761,-358799062
58400255,Rua Elias Asfora,Centro,-7034872999999990,-372865699
58400258,Rua Doutor Severino Ribeiro Cruz,Centro,Nan,Nan
58400260,Rua Desembargador Trindade,Centro,-7223779899999990,-358840185
58400261,Rua Presidente João Pessoa,Centro,-229027962,-431026262
58400262,Praça Coronel Antônio Pessoa,Centro,-7223333299999990,-358839115
58400263,Rua Vidal de Negreiros,Centro,-300696425,-511672972
58400265,Travessa Almirante Alexandrino,Centro,-7222715999999990,-3588261
58400268,Rua Major Manoel Jovino do Ó,Centro,-72227438,-358837461
58400270,Rua Irineu Joffily,Centro,-7221219499999990,-358844759
58400273,Rua Miguel Couto,Centro,-229013519,-431801855
58400275,Rua Otacílio de Albuquerque,Centro,-235093748,-465867392
58400277,Rua Desembargador Trindade,Centro,-7223779899999990,-358840185
58400280,Rua Solon de Lucena,Centro,-72229718,-358853762
58400283,Rua Tiradentes,Centro,-229014003,-431246191
58400285,Travessa Tiradentes,Centro,-80593524,-348709247
58400287,Rua Afonso Pena,Centro,-229177678,-432188022
58400290,Rua Treze de Maio,Centro,-235623285,-466457737
58400292,Praça Clementino Procópio,Centro,-7219654999999990,-3588402
58400293,Largo Prefeito Severino Procópio,Centro,-72195665,-358833028
58400295,Rua Frei Caneca,Centro,-235543001,-4665426679999990
58400299,Travessa Presidente Epitácio Pessoa,Centro,-217668575,-5210964269999990
58400302,Praça Williams Arruda,Centro,Nan,Nan
58400310,Rua Paulo de Frontin,Centro,-254596766,-492146266
58400312,Rua João Florentino de Carvalho,Centro,-72220601,-358757647
58400320,Rua Sebastião Donato,São José,-72236826,-35887234
58400322,Rua Frei Caneca,São José,-235543001,-4665426679999990
58400324,Rua Otacílio de Albuquerque,São José,-235093748,-465867392
58400326,Rua Miguel Couto,São José,-229013519,-431801855
58400328,Avenida Professor Almeida Barreto,São José,-72292383,-358978557
58400335,Rua Capitão José Amâncio Barbosa,São José,-72266946,-358870567
58400342,Rua Major Belmiro,São José,-7226068100000000,-358878381
58400344,Rua Doutor João Moura,São José,-72251908,-358882079
58400346,Rua Olegário Azevedo,São José,-7224712299999990,-3588823980000000
58400350,Rua Desembargador Trindade,São José,-7223779899999990,-358840185
58400355,Parque do Povo,São José,378658134,-1222570583
58400358,Rua Paulino Raposo,São José,-7223615400000000,-358886684
58400360,Rua Lino Gomes da Silva,São José,-72232328,-358896816
58400362,Rua Veterinário Américo Braga,São José,-72236744,-358908931
58400364,Praça do Trabalho,São José,-80232666,-349143932
58400366,Rua Índio Felipe Camarão,São José,-7097521500000000,-34863694
58400368,Rua Miguel Vasconcelos,São José,-7225104,-358897997
58400370,Rua José do Patrocínio,São José,-300407497,-5122229489999990
58400382,Rua Rosendo Pereira de Lucena,São José,-7227159899999990,-358898679
58400384,Rua Aristides Lobo,São José,-229205769,-432086806
58400394,Rua Jacqueline Ayres Silva,São José,-72253163,-35891167
58400396,Rua Doutor Chateaubriand,São José,-7226638,-358910138
58400398,Rua Carlos Chagas,São José,-235728973,-466365689
58400403,Avenida Jornalista Assis Chateaubriand,São José,-7286331199999990,-358894251
58400414,Rua Dom Pedro I,São José,Nan,Nan
58400418,Rua Nilo Peçanha,São José,-148498012,-408446136
58400420,Rua Castro Pinto,São José,-7227470400000000,-358966416
58400422,Rua Delmiro Gouveia,São José,-37342859,-384881639
58400424,Rua José Elpídio da Costa Monteiro,São José,-72270236,-358958135
58400426,Rua Zacarias de Souza do Ó,São José,-7227730800000000,-358954987
58400438,Rua Teixeira de Freitas,São José,-300580759,-512038901
58400440,Travessa Nilo Peçanha,São José,-19534706,-406284941
58400442,Rua Professor Capiba,São José,-72256898,-358959277
58400444,Rua Doutor Agra,São José,-229202072,-431954532
58400446,Rua Sulpino Colaço,São José,-72257552,-358939712
58400448,Rua Iremar Marinho,São José,-7224963600000000,-358938776
58400453,Rua Siqueira Campos,São José,-235577468,-496813324
58400455,Rua Benedito Machado,São José,-232704309,-458635295
58400457,Travessa Benedito Machado,São José,-7224927699999990,-358929373
58400459,Rua Melo Leitão,São José,-72236273,-3589261219999990
58400464,Avenida Marechal Floriano Peixoto,São José,-25479955,-492479242
58400468,Rua da Independência,São José,-235670618,-466160715
58400470,Rua Antenor Navarro,São José,-72178552,-35893437
58400480,Rua da Independência,Prata,-235670618,-466160715
58400483,Rua Oswaldo Cruz,Prata,-239646851,-463215779
58400486,Rua Senador Epitácio Pessoa Cavalcante,Prata,-72232794,-359006096
58400492,Rua Marechal Deodoro,Prata,-236415365,-466949414
58400500,Rua José de Alencar,Prata,-80631301,-348900348
58400503,Rua Montevideo,Prata,-199512457,-439343211
58400506,Rua Duque de Caxias,Prata,-230151656,-475264452
58400510,Rua João Machado,Prata,402143985,-84328986
58400515,Rua Nilo Peçanha,Prata,-148498012,-408446136
58400520,Rua Antenor Navarro,Prata,-72178552,-35893437
58400525,Rua Siqueira Campos,Prata,-235577468,-496813324
58400530,Avenida Marechal Floriano Peixoto,Prata,-25479955,-492479242
58400535,Rua Melo Leitão,Prata,-72236273,-3589261219999990
58400540,Rua Santa Clara,Prata,-229686549,-431897744
58400545,Rua Luís de Melo,Prata,-234567345,-466444443
58400550,Rua Rodrigues Alves,Prata,-7219655700000000,-358993768
58400555,Praça do Rosário,Prata,-18923651,-482792484
58400560,Rua Capitão João Alves de Lira,Prata,-7218909399999990,-358988056
58400565,Rua Dom Pedro II,Prata,-198905141,-4383062779999990
58400570,Rua Índios Cariris,Prata,-72183218,-358894204
58400575,Avenida Rio Branco,Prata,-229059821,-431773249
58400585,Avenida Presidente Getúlio Vargas,Prata,-227683636,-471538543
58400590,Rua Luís Soares,Prata,41560862,-84065129
58400595,Praça Engenheiro Sebastião Ernesto dos Santos,Prata,-7216555,-358929589
58400600,Rua Vileneuve Honório Maia,Prata,-7216171,-3589296849999990
58400610,Rua Vereador Arrojado Lisboa,Prata,-7215852199999990,-358954751
58400640,Rua Vereador Arrojado Lisboa,Monte Santo,-7215852199999990,-358954751
58400648,Rua Tabelião Nereu Pereira dos Santos,Monte Santo,-7214725999999990,-358955291
58400650,Rua Monte Santo,Monte Santo,-228387987,-433166641
58400654,Rua Ceará,Monte Santo,-229093871,-432166991
58400660,Rua Montevideo,Monte Santo,-199512457,-439343211
58400662,Praça Sinhá Caroca,Monte Santo,Nan,Nan
58400664,Rua Juvêncio Ferreira,Monte Santo,-7214917300000000,-358978282
58400672,Rua Sinhazinha de Oliveira,Monte Santo,-72115004,-35896706
58400674,Travessa Olegário Maciel,Monte Santo,-236524412,-465598821
58400690,Rua Agrônomo João Maurício de Medeiros,Monte Santo,-72134209,-358982596
58400693,Rua Firmino Leite,Monte Santo,-97539341,-366515541
58400696,Rua Coronel Eufrásio Câmara,Monte Santo,-7213356699999990,-358999208
58400700,Rua da Borborema,Monte Santo,-198937057,-439427619
58400702,1ª Travessa da Borborema,Monte Santo,-72142968,-358993553
58400704,2ª Travessa da Borborema,Monte Santo,-72142968,-358993553
58400706,3ª Travessa da Borborema,Monte Santo,-72142819,-358993468
58400710,Rua Francisco Rosa de Farias,Monte Santo,-7212971899999990,-358980429
58400713,Rua José Augusto Trindade,Monte Santo,-71180147,-348262962
58400715,Travessa José Augusto Trindade,Monte Santo,-71180147,-348262962
58400717,Travessa Carneiro da Cunha,Monte Santo,-72124001,-358998294
58400720,Avenida Artiquilino Dantas,Monte Santo,-7211776,-358991501
58400722,Travessa Probo Câmara,Monte Santo,-7208848100000000,-358979411
58400723,Rua Probo Câmara,Monte Santo,-7208848100000000,-358979411
58400725,Rua Santina Leão,Monte Santo,-7210570199999990,-358983778
58400727,Rua Carneiro da Cunha,Monte Santo,-236179552,-4663564
58400730,Rua Tomaz Santa Rosa,Monte Santo,-72124001,-358998294
58400733,Rua Diogo da Costa,Monte Santo,-234719025,-466045984
58400735,Rua Tomaz de Araújo,Monte Santo,-236434615,-467724735
58400740,Rua Maria Rosa,Monte Santo,-235848695,-4668403499999990
58400742,Travessa Maria Rosa,Monte Santo,-2283925,-430715018
58400745,Rua Olegário Maciel,Monte Santo,-217648607,-43353901
58400747,Rua São Severino,Monte Santo,-235892172,-466434134
58400750,Rua Francisco Calixto,Monte Santo,-72134543,-359023061
58400752,Rua Antonieta Cavalcante,Monte Santo,-72112139,-359014601
58400754,Rua do Rangel,Monte Santo,-80673055,-348773948
58400756,Rua Ana da Silva Meira,Monte Santo,-7209395700000000,-359012521
58400760,Rua Maria Arruda de Figueirêdo,Monte Santo,-7209140700000000,-35901815
58400770,Rua Oscar Machado de Medeiros,Monte Santo,Nan,Nan
58400773,Rua Isaura Suassuna de Medeiros,Monte Santo,-72072154,-358887721
58400775,Rua João Suassuna,Monte Santo,-72122617,-35896333
58400780,Rua Inalda Meira Gayoso,Monte Santo,-72100877,-359047338
