Cep,Rua,Bairro,Lat,Lng
58407410,Rua Primeiro de Maio,José Pinheiro,413793774,-87567474
58407413,Travessa José Adelino de Melo,José Pinheiro,-7224365899999990,-358687019
58407415,Rua Dantas Barreto,José Pinheiro,-236927699,-464987197
58407418,Travessa Dantas Barreto,José Pinheiro,-7847952899999990,-352508183
58407420,Rua Cassemiro de Abreu,José Pinheiro,-300329166,-51199088
58407425,Rua Dom Bosco,José Pinheiro,-80573698,-348948316
58407430,Travessa Tito Sodré,José Pinheiro,-72258551,-358682352
58407432,1ª Travessa Tito Sodré,José Pinheiro,-7226600899999990,-358711618
58407434,Travessa Pedro Agra,José Pinheiro,-7225443899999990,-358682139
58407436,Vila Pedro Agra,José Pinheiro,-7225443899999990,-358682139
58407443,Rua Antônio Bernadino de Sena,José Pinheiro,-72260367,-358716151
58407444,1ª Travessa Antônio Bernadino de Sena,José Pinheiro,-7226322000000000,-358712404
58407445,2ª Travessa Antônio Bernadino de Sena,José Pinheiro,-7226285000000000,-358712503
58407450,Rua Campos Sales,José Pinheiro,-229172803,-432177586
58407455,Rua Olavo Bilac,José Pinheiro,-236577135,-466945513
58407458,Rua Regente Feijó,José Pinheiro,-229076207,-470591543
58407460,Rua Coelho Lisboa,José Pinheiro,-235483748,-465720245
58407463,Rua Padre Antônio Pereira,José Pinheiro,392447356,-8695185799999990
58407465,Rua Américo Falcão,José Pinheiro,-236320016,-4676961619999990
58407470,Rua Pereira da Silva,José Pinheiro,-22930747,-431889435
58407475,Avenida Prefeito Severino Cabral,José Pinheiro,-72435968,-358545918
58407480,Rua Antônio Telha,José Pinheiro,-72273419,-358751006
58407483,Rua Senador Nereu Ramos,José Pinheiro,-254574837,-492450321
58407485,Rua Augusto dos Anjos,José Pinheiro,-234837485,-468479616
58407488,Rua Josafá César Falcão,José Pinheiro,-7227207699999990,-358734779
58407490,Rua Fernandes Vieira,José Pinheiro,-300327384,-5121091089999990
58407493,Travessa Fernandes Vieira,José Pinheiro,-72300298,-3586626529999990
58407495,Rua Deputado Ascendino Moura,José Pinheiro,-7229684599999990,-358748142
58407497,Rua Doutor João Honório de Melo,José Pinheiro,-7229433299999990,-358733792
58407500,Rua Antônio Capoeiro,José Pinheiro,-7229352599999990,-358722506
58407503,Rua João Lélis,José Pinheiro,-7230760099999990,-35873947
58407505,Rua Amélia Vieira,José Pinheiro,-72294633,-358711409
58407520,Rua Professor Miron,José Pinheiro,-7229780999999990,-358691086
58407523,Rua Antônio Bernardo,José Pinheiro,408319599,-84803898
58407527,Rua Miguel Timóteo de Souza,José Pinheiro,Nan,Nan
58407530,Rua Raimundo Nonato de Araújo,José Pinheiro,-7232391699999990,-358721956
58407533,Rua Inácio Adelino de Farias,José Pinheiro,-72283924,-358680239
58407543,Rua Raimundo F. Queiroga,José Pinheiro,-72309449,-35869209
58407545,Rua Rubens Saldanha,José Pinheiro,-7230875399999990,-358704767
58407548,Rua Doutor Sebastião Pedrosa,José Pinheiro,-72318551,-358703361
58407550,Rua Jovino Nepomuceno,José Pinheiro,-72732649,-359224798
58407560,Rua Jovino Nepomuceno,Mirante,-72732649,-359224798
58407563,Rua Malaquias Souza do Ó,Mirante,-7231818499999990,-358680103
58407566,Rua Elvira Araújo Agra,Mirante,-72324176,-358677106
58407568,Rua Rubens Saldanha,Mirante,-7230875399999990,-358704767
58407570,Rua Mário David Andreazza,Mirante,-237426643,-466722145
58407573,Rua Fernandes Vieira,Mirante,-300327384,-5121091089999990
58407585,Rua Ledeni Rocha Hermínio,Mirante,Nan,Nan
58407590,Rua Djalma Miguel de Morais,Mirante,-72320301,-358642222
58407597,Rua Pastor Robert Reid Kally,Mirante,-7232273900000000,-358648689
58407610,Rua Vereador Antônio José Rodrigues,Mirante,-7232433400000000,-358658501
58407615,Rua Arlinda Gomes de Medeiros,Mirante,-72333804,-358660111
58407618,Rua Lizzie Kelly Costa,Mirante,Nan,Nan
58407624,Rua José Aroldo de Menezes,Mirante,-72337229,-358665722
58407627,Rua Universitário Alexandre Bezerra,Mirante,-72350117,-358663385
58407660,Avenida Prefeito Severino Cabral,Mirante,-72435968,-358545918
58407664,Avenida Engenheiro José Celino Filho,Mirante,-7234397400000000,-3586480220000000
58407670,Rua Belmiro Pinto Brandão,Mirante,-7234021399999990,-358629912
58407673,Rua Antônio Barbosa de Menezes,Mirante,-72353856,-358635756
58407682,Rua Luiz Florentino de Souza,Mirante,-72255087,-359325755
58407688,Rua José Ulisses de Lucena,Mirante,-72361707,-358655356
58407690,Rua Engenheiro José Bezerra,Mirante,-72356538,-358628273
58407695,Avenida Ana Cavalcanti Diniz,Mirante,-7237277799999990,-358662167
58408000,Avenida Prefeito Severino Cabral,Vila Cabral,-72435968,-358545918
58408003,Travessa Severino Bezerra Cabral,Vila Cabral,-72435968,-358545918
58408006,Rua Manoel Justino,Vila Cabral,-88881575,-364677365
58408010,Rua Joaquim Azevedo,Vila Cabral,-72388007,-358655906
58408012,1ª Travessa Joaquim Azevedo,Vila Cabral,-72381848,-358668038
58408014,2ª Travessa Joaquim Azevedo,Vila Cabral,-72381848,-358668038
58408016,3ª Travessa Joaquim Azevedo,Vila Cabral,-72381899,-358667915
58408024,Travessa Manoel Chaves,Vila Cabral,-7240758799999990,-358644505
58408027,Rua José Bernardino,Vila Cabral,-211841558,-478180927
58408030,Rua Ranulfo Gomes de Araújo,Vila Cabral,-72406639,-35865678
58408033,Rua Clóvis Timóteo de Souza,Vila Cabral,-7239904699999990,-3586568889999990
58408036,Rua Neuza Pereira Borges,Vila Cabral,-7240011099999990,-3586522009999990
58408040,Rua Maria Elizabete Silva,Vila Cabral,-7239740499999990,-35864973
58408042,Travessa Maria Elizabete Silva,Vila Cabral,-72404391,-358649881
58408045,Rua Josefa Maria da Conceição,Vila Cabral,-71563227,-348895394
58408050,Rua Manoel Chaves,Vila Cabral,-7916006700000000,-348285826
58408052,Travessa São José,Vila Cabral,Nan,Nan
58408055,Rua São José,Vila Cabral,-229046253,-431744762
58408057,Rua Maria de Araújo,Vila Cabral,-5160959,-427800934
58408060,Rua Joselita Brasileiro,Vila Cabral,-7240259999999990,-3586365370000000
58408063,Rua Eufrasina Maria,Vila Cabral,-7240210200000000,-358632673
58408066,Rua Severino Herculano de Melo,Vila Cabral,-7240353799999990,-358629747
58408068,Travessa Severino Herculano de Melo,Vila Cabral,-7240353799999990,-358629747
58408070,Rua São Jerônimo,Vila Cabral,-198957302,-439243406
58408072,Rua São Luiz,Vila Cabral,-110106814,-3721935550000000
58408075,Travessa São Luiz,Vila Cabral,-5851975599999990,-352487065
58408088,Rua Abdísio Militão Prazeres dos Santos,Vila Cabral,-72418836,-358629925
58408092,Rua Joaquim Duarte,Vila Cabral,-299183708,-510438069
58408094,Rua João Veríssimo de Sousa,Vila Cabral,-7241220800000000,-358642889
58408097,Rua José Muniz Filho,Vila Cabral,-72412104,-358647655
58408100,Rua Professor José Lopes de Andrade,Vila Cabral,-7240561400000000,-358662507
58408103,Rua José Henrique de Melo,Vila Cabral,-199839294,-44008251
58408106,Rua Luiz Gonzaga da Costa,Vila Cabral,-201804387,-493477675
58408110,Rua João Clementino dos Santos,Vila Cabral,-72447363,-35916126
58408112,Rua José Pessoa de Vasconcelos,Vila Cabral,Nan,Nan
58408115,Travessa José Henrique de Melo,Vila Cabral,-7242894600000000,-358619264
58408118,Rua Maria Rabelo Azevedo,Vila Cabral,Nan,Nan
58408120,Travessa Luiz Gonzaga da Costa,Vila Cabral,-7242770699999990,-358636719
58408300,Rua Maria das Neves Cavalcante,Vila Cabral,-71868983,-348800714
58408303,Rua Narciso Costa Figueiredo,Vila Cabral,-7248595700000000,-358712418
58408305,Rua Antônio Matias Figueiredo,Vila Cabral,-72480275,-358700562
58408308,Rua Francisco Alves Ramalho,Vila Cabral,-7249017599999990,-35868763
58408310,Rua Maria da Guia Costa Figueiredo,Vila Cabral,-7248505499999990,-358702042
58408313,Rua Joaquim Tavares de Souza,Vila Cabral,-7249013499999990,-358692439
58408316,Rua Severina Moreira Pinto,Vila Cabral,-72490336,-3586971990000000
58408320,Rua João Crispim da Silva,Vila Cabral,-7249051100000000,-358701796
58408323,Rua Marconi Lino da Costa,Vila Cabral,Nan,Nan
58408326,Rua Manoel Cardoso Palhano,Vila Cabral,-72495937,-358703436
58408330,Avenida Senador Argemiro de Figueiredo,Vila Cabral,-72574081,-358770437
58410000,Avenida Professor Almeida Barreto,Estação Velha,-72292383,-358978557
58410003,Rua Benjamin Constant,Estação Velha,-229208441,-431795315
58410006,Rua Paulo de Frontin,Estação Velha,-254596766,-492146266
58410008,Praça João de Sousa Vasconcelos,Estação Velha,Nan,Nan
58410012,Rua Cazuza Barreto,Estação Velha,-72292689,-358838404
58410022,Rua Santa Luzia,Estação Velha,-229096688,-431724068
58410024,Travessa Santa Luzia,Estação Velha,-5738027,-352877935
58410028,Travessa Santina Maria da Conceição,Estação Velha,-7231156799999990,-358852161
58410030,Rua Santina Maria da Conceição,Estação Velha,-7231156799999990,-358852161
58410034,Rua Goiás,Estação Velha,-239609397,-463280181
58410037,Travessa Prudente de Morais,Estação Velha,-130107919,-384924265
58410040,Rua Prudente de Morais,Estação Velha,-229853159,-432050341
58410045,Rua Estácio Tavares Wanderley,Estação Velha,-7232278499999990,-35886026
58410050,Rua Vice-Prefeito Antônio de Carvalho Sousa,Estação Velha,-72319997,-358859569
58410052,Rua Edgar Vilarim Meira,Estação Velha,-7231932700000000,-358869999
58410062,Avenida Jornalista Assis Chateaubriand,Estação Velha,-7286331199999990,-358894251
58410064,Rua Promotora Terezinha Lopes de Moura,Estação Velha,Nan,Nan
58410066,Rua Paraíba,Estação Velha,-199329758,-43932744
58410068,Rua Bahia,Estação Velha,-235479181,-466607109
58410072,Rua Piauí,Estação Velha,-235454503,-46657417
58410075,Rua João Maria de Souza Ribeiro,Estação Velha,-72339484,-358872822
58410080,Rua João Caetano de Andrade,Estação Velha,Nan,Nan
58410082,Rua Severino Rodrigues de Albuquerque,Estação Velha,-72348597,-358865712
58410084,Travessa Severino Rodrigues de Albuquerque,Estação Velha,-72348597,-358865712
58410086,Travessa João Caetano de Andrade,Estação Velha,Nan,Nan
58410088,Rua Pedro Leal,Estação Velha,-7235355900000000,-358863766
58410090,Rua Luis Rodrigues de Albuquerque,Estação Velha,-72332765,-359322719
58410092,Rua Vinte e Quatro de Maio,Estação Velha,-22902193,-432610434
58410097,Rua Guilhermino Barbosa,Estação Velha,-7236978199999990,-358854811
58410100,Rua Guilhermino Barbosa,Catolé,-7236978199999990,-358854811
58410103,Rua Cazuza Barreto,Catolé,-72292689,-358838404
58410105,Rua Paulo de Frontin,Catolé,-254596766,-492146266
58410112,Rua Coelho Lisboa,Catolé,-235483748,-465720245
58410115,Rua Luiz de Albuquerque Farias,Catolé,-72272322,-358760374
58410118,Rua Maria Minervina de Figueiredo,Catolé,-72177714,-359007063
58410120,Rua Antônio Telha,Catolé,-72273419,-358751006
58410122,Rua Senador Nereu Ramos,Catolé,-254574837,-492450321
58410124,Rua Olegário Mariano,Catolé,-235915477,-467103204
58410127,Rua Deputado Ascendino Moura,Catolé,-7229684599999990,-358748142
58410130,Rua Doutor João Honório de Melo,Catolé,-7229433299999990,-358733792
58410133,Rua Pedro Leão,Catolé,-9752345,-366683075
58410136,Rua José Guedes de Albuquerque,Catolé,-7232566800000000,-358771892
58410140,Rua João Lélis,Catolé,-7230760099999990,-35873947
58410143,Rua Inácio Marques da Silva,Catolé,-7232170299999990,-35874501
58410146,Rua Amélia Vieira,Catolé,-72294633,-358711409
58410150,Rua João Pequeno,Catolé,-7233442399999990,-358773651
58410153,Rua Maestro Villa Lobos,Catolé,-234774605,-465985462
58410156,Rua Celestino Martins da Costa,Catolé,-7233232399999990,-358745678
58410163,Rua Raimundo Nonato de Araújo,Catolé,-7232391699999990,-358721956
58410165,Rua Anísio Rodrigues de Souza Campos,Catolé,-7235347399999990,-358756804
58410170,2ª Travessa Elpídio de Almeida,Catolé,-7236687099999990,-358754206
58410173,Rua Eduardo de Oliveira Lobo,Catolé,-72367982,-358739048
58410175,Rua José Branco Ribeiro,Catolé,-7234442700000000,-358748583
58410178,Rua João Tavares de Brito,Catolé,-72344357,-35872677
58410180,Rua Antônio de Souza Lopes,Catolé,-72333393,-358723408
58410183,Rua Francisco Lobo Filho,Catolé,-72333257,-358712924
58410185,Avenida Prefeito Severino Cabral,Catolé,-72435968,-358545918
58410188,Rua Severino Trindade,Catolé,-7234925,-358721857
58410191,Rua Doutor Joaquim Amorim Neto,Catolé,-7218922999999990,-358906325
58410193,Rua José Adnoste Roberto,Catolé,-7234397599999990,-358704033
58410196,Rua Maria de Lourdes Abrantes Pinto de Oliveira,Catolé,-72372592,-358718678
58410200,Rua Basílio Araújo,Catolé,-7238033499999990,-35871569
58410205,Rua Professora Eutécia Vital Ribeiro,Catolé,-72399133,-358721945
58410208,Rua Manoel Barros Filho,Catolé,-7239300000000000,-358742487
58410210,Rua José de Brito Lira,Catolé,-72391743,-358751146
58410215,Avenida Elpídio de Almeida,Catolé,-72388106,-358754782
58410220,Rua Vereador José Targino,Catolé,-7227624100000000,-358795332
58410223,Rua Antônio Guedes de Andrade,Catolé,-72284267,-358800518
58410230,Rua José Dantas de Aguiar,Catolé,-7228825100000000,-358813038
58410235,Rua Tomás Soares de Souza,Catolé,-7233551800000000,-35881782
58410253,Rua João Francisco da Mota,Catolé,-7235907699999990,-358809973
58410255,Rua Cristina Procópio Silva,Catolé,-72367677,-3588187300000000
58410258,Rua Aluísio Cunha Lima,Catolé,-7237491100000000,-358815118
58410260,Rua Cônsul Joseph Noujaim Habib Nacad,Catolé,-72383438,-358839706
58410262,Praça Cônsul Joseph Noujaim Habib Nacad,Catolé,-72383438,-358839706
58410265,Rua Inácio Pedro Diniz,Catolé,-72281771,-358771666
58410268,Rua Ernesto Jerônimo de Farias,Catolé,-7228257900000000,-358774679
58410270,Rua Leocádio Gomes Silva,Catolé,-72288016,-358781927
58410272,Rua José Francisco Ramos,Catolé,-26341603,-488189666
58410276,Rua Cícero Jacinto,Catolé,-7229104799999990,-358791087
58410278,Rua José Pereira de Araújo,Catolé,-255128341,-4930268599999990
58410280,Rua Francisco Camilo,Catolé,-231831262,-458425283
58410282,Travessa Prefeito Francisco Camilo,Catolé,-7230217100000000,-358791507
58410284,Rua Ariús,Catolé,-72309668,-358779057
58410286,1ª Travessa Ariús,Catolé,-7232167500000000,-35878247
58410288,2ª Travessa Ariús,Catolé,-7232167500000000,-35878247
58410290,3ª Travessa Ariús,Catolé,-7232167500000000,-35878247
58410292,4ª Travessa Ariús,Catolé,-7232167500000000,-35878247
58410294,5ª Travessa Ariús,Catolé,-7232167500000000,-35878247
58410298,1ª Travessa Elpídio de Almeida,Catolé,-7234157,-35876494
58410300,Rua Oito de Dezembro,Catolé,-229100285,-432406765
58410304,Travessa Oito de Dezembro,Catolé,-129340932,-384918932
58410306,Travessa Curemas,Catolé,Nan,Nan
58410308,Rua Curemas,Catolé,-72317572,-358784969
58410310,Rua Padre Anchieta,Catolé,-2543094,-492942995
58410312,Travessa Padre Anchieta,Catolé,-148463603,-408303997
58410313,2ª Travessa Padre Anchieta,Catolé,-148465651,-408297059
58410314,Rua Padre Nóbrega,Catolé,-199167491,-439898512
58410316,3ª Travessa Padre Nóbrega,Catolé,-7232079000000000,-35878806
58410318,2ª Travessa Padre Nóbrega,Catolé,-227044844,-476582546
58410320,1ª Travessa Padre Nóbrega,Catolé,-227044844,-476582546
58410326,Rua Maria Ouriques de Araújo,Catolé,Nan,Nan
58410328,Rua Curemas II,Catolé,-7233495999999990,-358784636
58410330,Rua Músico Ovídio Leocádio,Catolé,-7230530700000000,-358790824
58410332,Rua João da Penha Azevedo,Catolé,-72306068,-358797578
58410334,Travessa João da Penha Azevedo,Catolé,-72306068,-358797578
58410336,Rua João Benone de Andrade,Catolé,-72311143,-35879947
58410338,Travessa João Benome de Andrade,Catolé,-72311143,-35879947
58410342,Travessa Vigário Calixto,Catolé,-7243378,-358791049
58410345,Rua Manoel Belo,Catolé,-7231155200000000,-358818215
58410348,Rua Conselheiro Joaquim Barbosa Silva,Catolé,-72317297,-35881767
58410350,Rua Cristino Colaço,Catolé,-7232334199999990,-358817502
58410357,Rua Joselita Reis Brasileiro,Catolé,-7233546899999990,-35881688
58410363,Rua Erasmo Cabral de Aquino,Catolé,-72335226,-358802624
58410367,Rua Maria Aparecida Carneiro,Catolé,-72217383,-35906168
58410370,Rua João Quirino,Catolé,-72350337,-358795405
58410373,Rua Hidraildes Costa de Carvalho,Catolé,Nan,Nan
58410380,Rua José Evaristo Barbosa,Catolé,-7235893600000000,-358769163
58410383,Rua Epaminondas Câmara,Catolé,-7235893600000000,-358769163
58410385,Rua Vinte e Um de Fevereiro,Catolé,-237003071,-4649925959999990
58410387,Rua Gilson Marinho da Silva,Catolé,-7231630200000000,-359052865
58410390,Rua Doutor Gutemberg Uchôa de Araújo,Catolé,-7235851999999990,-358775245
58410393,Rua Barão da Passagem,Catolé,-235243673,-467252319
58410407,Rua Sebastião Vieira da Silva,Catolé,-72414099,-358785017
58410410,Rua Luiza Bezerra Motta,Catolé,-72383207,-358814583
58410415,Rua Vinte e Quatro de Maio,Catolé,-22902193,-432610434
58410425,Rua João Bezerra Paz,Catolé,-72427436,-358853387
58410428,Rua Venezuela,Catolé,-199515926,-439364837
58410430,Rua Alderico Pessoa de Oliveira,Catolé,-72458272,-358843051
58410433,Rua João Capiba,Catolé,Nan,Nan
58410435,Rua General Canrobert,Catolé,-236288742,-465132974
58410440,Rua Fernando Barbosa de Melo,Catolé,-7241491099999990,-358813498
58410455,Rua Sindicalista Moisés Lira Braga,Catolé,-72397607,-358807006
58410457,Rua Frei Tito,Catolé,-199200277,-440716896
58410460,Rua Valdemira Emília Pinto,Catolé,-72421815,-35880588
58410463,Rua João Vidal de Negreiros,Catolé,-7242801399999990,-3588056
58410468,Rua Lino Galdino de Almeida,Catolé,-7242026099999990,-35882788
58410470,Rua Geraldo Soares de Almeida,Catolé,-7242319099999990,-358834699
58410475,Rua Maria de Souza Ribeiro,Catolé,-72339484,-358872822
58410478,Rua Manoel de Barros,Catolé,-235050197,-465247108
58410480,Rua Luiz Sodré Filho,Catolé,-72442483,-35878246
58410483,Rua Coronel Honorato da Costa Agra,Catolé,-7245834200000000,-358798638
58410485,Rua Nazinha Góes Albuquerque,Catolé,-72457695,-358790335
58410488,Rua Maria de Lourdes Aguiar Loureiro,Catolé,-72469337,-358804677
58410490,Rua Francisco Guedes de Moura,Catolé,-7245743500000000,-358807602
58410493,Rua José Tokaipp,Catolé,-72468701,-358811089
58410495,Rua Deputado Djalma Marinho,Catolé,-57264975,-352600005
58410500,Rua Álvaro Mirapalheta,Catolé,-7247539599999990,-358807329
58410503,Rua Juiz Pedro Nogueira de Moraes,Catolé,-72482788,-358806116
58410505,Rua Tenente Adelino Barbosa de Melo,Catolé,-7249680400000000,-358796506
58410510,Rua José Eudócio Leite,Catolé,-72494304,-358820803
58410518,Rua Moisés Misael de Paula,Catolé,-72441859,-358829455
58410520,Rua Jardelino Pinto Brandão,Catolé,-7244856599999990,-358826748
58410523,Rua Terezinha de Farias,Catolé,-7244945699999990,-358837015
58410525,Rua Severina Ramos de Andrade,Catolé,-72446979,-358849831
58410528,Rua Tabelião Severino Lucas de Lacerda,Catolé,-72449657,-35885526
58410530,Rua Humberto Batista de Lima,Catolé,-72457658,-358836392
58410532,Rua João Albuquerque Santiago,Catolé,-72464656,-358842357
58410535,Rua Nossa Senhora Aparecida,Catolé,-27578646,-486091158
58410538,Travessa Alderico Pessoa de Oliveira,Catolé,-72458272,-358843051
58410540,Rua Irmã Dulce,Catolé,-129939304,-38486592
58410542,Rua Lucas Arruda,Catolé,-72482182,-358846392
58410543,Travessa Lucas Arruda,Catolé,-72476755,-358846798
58410545,Rua Cristo Redentor,Catolé,-236100721,-465925423
58410547,Rua São Judas Tadeu,Catolé,-236868868,-465067351
58410550,Rua José Soares de Santana,Catolé,-72488759,-35882691
58410552,Travessa José Soares de Santana,Catolé,-72488759,-35882691
58410563,Rua Miguel Rodrigues Dantas,Catolé,-72471239,-358841801
58410568,Rua Ana Paula Duarte de Medeiros,Catolé,Nan,Nan
58410575,Rua Manoel Alves de Oliveira,Catolé,-7249951299999990,-358810307
58410600,Rua Vigário Calixto,Sandra Cavalcante,-7243378,-358791049
58410603,Rua Luiza Bezerra Motta,Sandra Cavalcante,-72383207,-358814583
58410606,Rua Barão da Passagem,Sandra Cavalcante,-235243673,-467252319
58410610,Rua Cícera Diniz da Silva,Sandra Cavalcante,-72386358,-358775204
58410612,Rua Sebastião Vieira da Silva,Sandra Cavalcante,-72414099,-358785017
58410620,Rua Olívio Rique Ferreira,Sandra Cavalcante,-16691656,-49266451
58410634,Rua Manoel Barros Filho,Sandra Cavalcante,-7239300000000000,-358742487
58410637,Rua Basílio Araújo,Sandra Cavalcante,-7238033499999990,-35871569
58410640,Avenida Prefeito Severino Cabral,Sandra Cavalcante,-72435968,-358545918
58410653,Rua Otacílio Nepomuceno,Sandra Cavalcante,-72337651,-358730966
58410666,Avenida Senador Argemiro de Figueiredo,Sandra Cavalcante,-72574081,-358770437
58410670,Rua Professora Eutécia Vital Ribeiro,Sandra Cavalcante,-72399133,-358721945
58410672,Rua Salvino de Araújo Sampaio,Sandra Cavalcante,-7241177800000000,-35872069
58410675,Rua Alfredo Farias Pimentel,Sandra Cavalcante,-72408382,-358733048
58410678,Rua Alfredo Queiroz,Sandra Cavalcante,-72410945,-358738935
58410680,Rua Agenor Cavalcanti Vasconcelos,Sandra Cavalcante,-72410945,-358738935
58410685,Avenida Antônio Villarim,Sandra Cavalcante,-7242264899999990,-358729246
58410687,Rua Geraldo Porto,Sandra Cavalcante,-7118483899999990,-348423501
58410690,Rua Matias Vasconcelos da Costa,Sandra Cavalcante,-72432243,-3587210270000000
58410693,Rua Joaquim Medeiros,Sandra Cavalcante,-7242658799999990,-358733897
58410694,Travessa Joaquim Medeiros,Sandra Cavalcante,-7242658799999990,-358733897
58410696,Rua Honório Cabral da Silva,Sandra Cavalcante,-72447162,-358726426
58410698,Praça Engenheiro Roberto Palomo,Sandra Cavalcante,Nan,Nan
58410700,Rua José Nery de Lucena,Sandra Cavalcante,-72459471,-358728368
58410703,Rua Rosângela dos Santos Vidal,Sandra Cavalcante,-7245285399999990,-358725269
58410706,Rua Pablo Neruda,Sandra Cavalcante,387787227,"-9,15890589999999E+015"
58410710,Rua Mário da Costa Agra,Sandra Cavalcante,-72459471,-358728368
58410713,Rua do Triângulo,Sandra Cavalcante,-36820292,-4035104750000000
58410716,Rua Alfredo Ferreira Bastos,Sandra Cavalcante,-7247485999999990,-358727242
58410720,Rua Isabel Barbosa de Araújo,Sandra Cavalcante,-7248118699999990,-35872537
58410723,Rua Deputado José Aurélio,Sandra Cavalcante,-724885,-358724633
58410725,Avenida Elpídio de Almeida,Sandra Cavalcante,-72388106,-358754782
58410730,Rua Hugo Andrade Amorim,Sandra Cavalcante,-7240608900000000,-358768265
58410733,Rua Arthur Ferreira de Castro,Sandra Cavalcante,-72416512,-358754891
58410736,Rua Claudino Ramos Colaço,Sandra Cavalcante,Nan,Nan
58410738,Rua Giocondo Dias,Sandra Cavalcante,-230209497,-434837457
58410740,Rua Doutora Neusa Brilhante,Sandra Cavalcante,-7241530699999990,-358775079
58410743,Rua Denise Alves de Medeiros,Sandra Cavalcante,-72415672,-358768214
58410745,Rua Fernando Barbosa de Melo,Sandra Cavalcante,-7241491099999990,-358813498
58410755,Rua Alzira Figueirêdo,Sandra Cavalcante,-72428605,-358764241
58410757,Travessa Sebastião Vieira da Silva,Sandra Cavalcante,-72414099,-358785017
58410760,Rua Professor Clóvis de Oliveira,Sandra Cavalcante,-7243407099999990,-358775735
58410762,Travessa Pedro Aragão,Sandra Cavalcante,-7243859400000000,-358775754
58410765,Rua Pedro Aragão,Sandra Cavalcante,-7243859400000000,-358775754
58410767,Rua Josefa Taveira da Silva,Sandra Cavalcante,-7243931799999990,-358764624
58410770,Rua Luiz Sodré Filho,Sandra Cavalcante,-72442483,-35878246
58410773,Rua Josué Sobreira de Carvalho,Sandra Cavalcante,-72436716,-358762306
58410775,Rua Quintino Leôncio de Castro,Sandra Cavalcante,-72433302,-35875261
58410778,Rua Pastor Ximenes,Sandra Cavalcante,-72436811,-358759047
58410780,Rua Ascendino Oliveira,Sandra Cavalcante,-7244493500000000,-358759041
58410783,Rua Florípedes Pontes,Sandra Cavalcante,-7244127,-35875568
58410786,Rua João Almeida Barreto,Sandra Cavalcante,-7243672699999990,-358752481
58410790,Rua Severino Pereira de Castro,Sandra Cavalcante,-72436751,-358749305
58410793,Rua Levi Menezes,Sandra Cavalcante,-72441856,-358749261
58410800,Rua José Lucas Neto,Sandra Cavalcante,-7245276199999990,-358740365
58410803,Rua Alice Luna Pequeno,Sandra Cavalcante,-72459471,-358728368
58410805,Rua Gercino Farias Leite,Sandra Cavalcante,-7246212,-358744826
58410810,Rua Tereza Nogueira Arruda,Sandra Cavalcante,-7246229500000000,-358750844
58410813,Rua Edmundo Pereira de Farias,Sandra Cavalcante,-7246117700000000,-358756751
58410815,Rua Petrônio Figueiredo,Sandra Cavalcante,-71307239,-349329951
58410817,Rua Francisco Zeca Silva,Sandra Cavalcante,-72460202,-358762434
58410820,Rua Professora Severina Ramos da Silva,Sandra Cavalcante,-72446883,-358758457
58410830,Rua Nazinha Góes Albuquerque,Sandra Cavalcante,-72457695,-358790335
58410832,Rua Lenise Alves de Medeiros,Sandra Cavalcante,-72474868,-358784402
58410835,Rua Doutor Wilson Furtado,Sandra Cavalcante,Nan,Nan
58410837,Rua João de Lemos Pessoa,Sandra Cavalcante,-72467472,-358778305
58410839,Rua Petronila de Farias,Sandra Cavalcante,-7247561199999990,-358771992
58410841,Rua Izabel Silveira Guimarães,Sandra Cavalcante,-7246697800000000,-358764942
58410843,Rua Jaime Barbosa da Silva,Sandra Cavalcante,-72471014,-358758418
58410845,Rua Beatriz Ernesto Leal de Melo,Sandra Cavalcante,Nan,Nan
58410855,Rua Doutor Paulo Ramos Figueiredo,Sandra Cavalcante,-72498182,-358745224
58410858,Rua Fernando Gomes de Araújo,Sandra Cavalcante,-72515512,-358758205
58410863,Rua Severino Fernandes de Oliveira,Sandra Cavalcante,-7250931500000000,-358766277
58410865,Rua Valeriano Ferreira de Melo,Sandra Cavalcante,-72484069,-3587732
58410868,Rua Júlio Ferreira Tavares,Sandra Cavalcante,-7250356300000000,-358774147
58410870,Rua Adolfo José Amaral,Sandra Cavalcante,-72501324,-358781302
58410875,Rua Engenheiro Saturnino de Brito Filho,Sandra Cavalcante,-72513448,-358790935
58410878,Rua Antônio Bonifácio Alves,Sandra Cavalcante,-7250205999999990,-358735924
58410900,Avenida Prefeito Severino Cabral 1200,Catolé,-7234871999999990,-358702119
58411000,Rua Engenheiro Saturnino de Brito Filho,Itararé,-72513448,-358790935
58411005,Rua Sandra Vasconcelos Pereira de Melo,Itararé,-72511611,-358742071
58411008,Rua Professor Itan Pereira,Itararé,-72175305,-359233758
58411010,Rua Alvino de Farias Pimentel,Itararé,-7251871899999990,-3587448550000000
58411012,Rua José Carlos Cirino,Itararé,-72525621,-358744065
58411015,Rua José Zilton Uchôa,Itararé,-72526775,-358749275
58411018,Rua Fernando Gomes de Araújo,Itararé,-72515512,-358758205
58411020,Avenida Senador Argemiro de Figueiredo,Itararé,-72574081,-358770437
58411030,Rua Agente de Investigação José Severiano do Nascimento,Itararé,-7253281800000000,-358759755
58411035,Rua Gaudêncio da Silva Queiroz,Itararé,Nan,Nan
58411040,Rua Benício Ribeiro de Brito,Itararé,-72542474,-358775346
